l1_A,l2_A,l1_W,l2_W,method,K,N,n,seed,n_frac,exp
4.091393835,0.158534679,32.7859999,3.541786797,Ours_8,3,100,100,1103010,1,1
2.063943948,0.027236563,60.89224095,5.702942754,LDA,3,200,100,1103020,2,1
1.632139558,0.021417872,39.63509391,4.00394474,TopicScore,3,200,100,1103020,2,1
2.070675293,0.031932886,39.86674596,4.032768966,AWR,3,200,100,1103020,2,1
2.30767029,0.030331162,37.5136302,3.769572159,TSVD,3,200,100,1103020,2,1
5.406199314,0.564853145,52.42865347,5.461505804,Bing,3,200,100,1103020,2,1
1.639338173,0.02160168,37.77653404,3.7721768,Ours_0.1,3,200,100,1103020,2,1
1.64012219,0.021647039,37.22006629,3.690060415,Ours_1,3,200,100,1103020,2,1
1.828020751,0.023382902,36.38511708,3.584801358,Ours_2,3,200,100,1103020,2,1
2.386737143,0.037063384,35.58626622,3.461610289,Ours_4,3,200,100,1103020,2,1
3.332160608,0.071754547,34.17737109,3.297865871,Ours_8,3,200,100,1103020,2,1
1.334474623,0.014938442,18.39123061,1.837075581,LDA,3,500,100,1103050,5,1
1.343019021,0.015977181,41.97193323,4.344499084,TopicScore,3,500,100,1103050,5,1
1.963156988,0.028293674,40.41363012,4.182905899,AWR,3,500,100,1103050,5,1
1.694453162,0.019190032,37.62052681,3.901170336,TSVD,3,500,100,1103050,5,1
5.277027772,0.246173861,41.61017292,4.324624462,Bing,3,500,100,1103050,5,1
1.355040133,0.016277945,36.63917411,3.679933854,Ours_0.1,3,500,100,1103050,5,1
1.362826744,0.016455256,39.49758206,4.092921365,Ours_1,3,500,100,1103050,5,1
1.402249097,0.01550499,38.94557752,4.015528438,Ours_2,3,500,100,1103050,5,1
1.646475381,0.01813097,35.5024421,3.522098972,Ours_4,3,500,100,1103050,5,1
2.295219017,0.030964789,40.05122383,4.117519022,Ours_8,3,500,100,1103050,5,1
1.050310597,0.011284508,10.51303021,0.941322632,LDA,3,1000,100,1103100,10,1
1.145491202,0.013991159,39.21357253,3.835172866,TopicScore,3,1000,100,1103100,10,1
1.745752854,0.025426052,43.30651024,4.336791671,AWR,3,1000,100,1103100,10,1
1.274925676,0.013618412,40.08295137,3.947683261,TSVD,3,1000,100,1103100,10,1
4.585049091,0.140871735,69.66098553,6.720285507,Bing,3,1000,100,1103100,10,1
1.144908191,0.013980595,38.94833558,3.826934592,Ours_0.1,3,1000,100,1103100,10,1
1.154254106,0.01417018,41.56069293,4.182429138,Ours_1,3,1000,100,1103100,10,1
1.134653795,0.013139371,38.56523558,3.750531608,Ours_2,3,1000,100,1103100,10,1
1.209340813,0.012533226,39.71665785,3.901013922,Ours_4,3,1000,100,1103100,10,1
1.601939062,0.018360115,38.95425852,3.825376789,Ours_8,3,1000,100,1103100,10,1
2.562559854,0.041591232,329.3194112,11.83795279,LDA,3,163,325,1328005,0.5,1
1.377124475,0.016918784,140.8443062,8.178034466,TopicScore,3,163,325,1328005,0.5,1
2.123510202,0.032817749,138.0808217,8.031883658,AWR,3,163,325,1328005,0.5,1
1.666357791,0.019037167,131.6440405,7.645296771,TSVD,3,163,325,1328005,0.5,1
5.154407329,0.209370671,143.741197,8.441081499,Bing,3,163,325,1328005,0.5,1
1.381180381,0.016950928,134.2853021,7.812943099,Ours_0.1,3,163,325,1328005,0.5,1
1.3872101,0.015602108,133.8311942,7.783127691,Ours_1,3,163,325,1328005,0.5,1
1.627158621,0.018961301,132.473911,7.761842594,Ours_2,3,163,325,1328005,0.5,1
2.249778357,0.032767891,114.475151,6.40840261,Ours_4,3,163,325,1328005,0.5,1
3.276835784,0.066152578,117.5472988,6.640810395,Ours_8,3,163,325,1328005,0.5,1
1.064251753,0.011277393,35.93900086,1.905213365,LDA,3,260,325,1328008,0.8,1
1.217720278,0.014500245,120.4275939,6.677182575,TopicScore,3,260,325,1328008,0.8,1
2.102125315,0.031688839,114.6633722,6.245606877,AWR,3,260,325,1328008,0.8,1
1.391029549,0.014890396,117.0263853,6.417441748,TSVD,3,260,325,1328008,0.8,1
4.680065775,0.124642272,121.7543131,6.798227986,Bing,3,260,325,1328008,0.8,1
1.224932672,0.014664779,117.4584116,6.451014247,Ours_0.1,3,260,325,1328008,0.8,1
1.211434486,0.013475547,117.4584116,6.451014247,Ours_1,3,260,325,1328008,0.8,1
1.328646041,0.013518221,117.0795334,6.428869996,Ours_2,3,260,325,1328008,0.8,1
1.758969204,0.021192639,116.1590439,6.389156593,Ours_4,3,260,325,1328008,0.8,1
2.612456752,0.042419748,114.8368208,6.29643596,Ours_8,3,260,325,1328008,0.8,1
0.978386463,0.010265483,31.96158069,1.742039215,LDA,3,325,325,1328010,1,1
1.198030402,0.014625354,136.9079968,7.310704124,TopicScore,3,325,325,1328010,1,1
2.067356423,0.031668454,135.0161765,7.191714935,AWR,3,325,325,1328010,1,1
1.253739691,0.013301601,123.2345181,6.376503713,TSVD,3,325,325,1328010,1,1
4.385931246,0.099796496,129.3696403,6.779907764,Bing,3,325,325,1328010,1,1
1.210195115,0.01488824,124.9020524,6.437425764,Ours_0.1,3,325,325,1328010,1,1
1.165433192,0.013438678,124.9020524,6.437425764,Ours_1,3,325,325,1328010,1,1
1.205190699,0.012287398,137.142383,7.348765247,Ours_2,3,325,325,1328010,1,1
1.550930839,0.018030786,125.3693248,6.49113815,Ours_4,3,325,325,1328010,1,1
2.315089024,0.034855168,127.9873515,6.691259278,Ours_8,3,325,325,1328010,1,1
